User_ID,cat,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Purchase,aver,prob
1000004,9,M,46-50,7,B,2,1,19693,,
1000004,11,M,46-50,7,B,2,1,30984,,
1000004,14,M,46-50,7,B,2,1,30893,,
1000004,15,M,46-50,7,B,2,1,70160,,
1000004,16,M,46-50,7,B,2,1,38655,,
1000004,17,M,46-50,7,B,2,1,19215,,
1000004,20,M,46-50,7,B,2,1,481,,
1000005,1,M,26-35,20,A,1,1,194401,,
1000005,2,M,26-35,20,A,1,1,57918,,
1000005,3,M,26-35,20,A,1,1,23692,,
1000005,4,M,26-35,20,A,1,1,21037,,
1000005,5,M,26-35,20,A,1,1,158848,,
1000005,6,M,26-35,20,A,1,1,91198,,
1000005,7,M,26-35,20,A,1,1,74954,,
1000005,8,M,26-35,20,A,1,1,370249,,
1000005,10,M,26-35,20,A,1,1,12841,,
1000005,11,M,26-35,20,A,1,1,21980,,
1000005,12,M,26-35,20,A,1,1,6874,,
1000005,13,M,26-35,20,A,1,1,16829,,
1000005,14,M,26-35,20,A,1,1,94559,,
1000005,15,M,26-35,20,A,1,1,69525,,
1000005,16,M,26-35,20,A,1,1,193111,,
1000005,17,M,26-35,20,A,1,1,16055,,
1000006,1,F,51-55,9,A,1,0,124139,,
1000006,2,F,51-55,9,A,1,0,67253,,
1000006,3,F,51-55,9,A,1,0,72369,,
1000006,4,F,51-55,9,A,1,0,94932,,
1000006,5,F,51-55,9,A,1,0,152581,,
1000006,6,F,51-55,9,A,1,0,8210,,
1000006,8,F,51-55,9,A,1,0,121130,,
1000006,9,F,51-55,9,A,1,0,2111,,
1000006,12,F,51-55,9,A,1,0,62555,,
1000006,14,F,51-55,9,A,1,0,162232,,
1000006,16,F,51-55,9,A,1,0,27246,,
1000006,17,F,51-55,9,A,1,0,27528,,
1000006,18,F,51-55,9,A,1,0,24419,,
1000006,20,F,51-55,9,A,1,0,480,,
1000007,1,M,36-45,1,B,1,1,220034,,
1000007,2,M,36-45,1,B,1,1,53834,,
1000007,5,M,36-45,1,B,1,1,7012,,
1000007,6,M,36-45,1,B,1,1,15553,,
1000007,8,M,36-45,1,B,1,1,42861,,
1000007,11,M,36-45,1,B,1,1,7381,,
1000007,14,M,36-45,1,B,1,1,27537,,
1000007,15,M,36-45,1,B,1,1,102393,,
1000007,16,M,36-45,1,B,1,1,116108,,
1000007,17,M,36-45,1,B,1,1,15628,,
1000007,20,M,36-45,1,B,1,1,241,,
1000008,1,M,26-35,12,C,4+,1,347350,,
1000008,2,M,26-35,12,C,4+,1,97665,,
1000008,3,M,26-35,12,C,4+,1,29206,,
1000008,5,M,26-35,12,C,4+,1,81190,,
1000008,6,M,26-35,12,C,4+,1,107070,,
1000008,8,M,26-35,12,C,4+,1,480111,,
1000008,11,M,26-35,12,C,4+,1,10009,,
1000008,12,M,26-35,12,C,4+,1,7869,,
1000008,13,M,26-35,12,C,4+,1,24386,,
1000008,14,M,26-35,12,C,4+,1,200621,,
1000008,15,M,26-35,12,C,4+,1,144173,,
1000008,16,M,26-35,12,C,4+,1,189963,,
1000008,17,M,26-35,12,C,4+,1,43507,,
1000008,19,M,26-35,12,C,4+,1,48,,
1000009,1,M,26-35,17,C,0,0,149573,,
1000009,2,M,26-35,17,C,0,0,23608,,
1000009,3,M,26-35,17,C,0,0,53948,,
1000009,4,M,26-35,17,C,0,0,43394,,
1000009,5,M,26-35,17,C,0,0,94107,,
1000009,6,M,26-35,17,C,0,0,174290,,
1000009,7,M,26-35,17,C,0,0,16874,,
1000009,8,M,26-35,17,C,0,0,257752,,
1000009,9,M,26-35,17,C,0,0,5388,,
1000009,10,M,26-35,17,C,0,0,16059,,
1000009,13,M,26-35,17,C,0,0,16059,,
1000009,14,M,26-35,17,C,0,0,55689,,
1000009,15,M,26-35,17,C,0,0,42710,,
1000009,16,M,26-35,17,C,0,0,233039,,
1000009,17,M,26-35,17,C,0,0,51258,,
1000009,20,M,26-35,17,C,0,0,139,,
1000010,1,F,36-45,1,B,4+,1,699315,,
1000010,2,F,36-45,1,B,4+,1,623156,,
1000010,3,F,36-45,1,B,4+,1,207386,,
1000010,4,F,36-45,1,B,4+,1,389630,,
1000010,5,F,36-45,1,B,4+,1,829330,,
1000010,6,F,36-45,1,B,4+,1,67136,,
1000010,7,F,36-45,1,B,4+,1,20957,,
1000010,8,F,36-45,1,B,4+,1,566664,,
1000010,9,F,36-45,1,B,4+,1,211394,,
1000010,10,F,36-45,1,B,4+,1,12642,,
1000010,11,F,36-45,1,B,4+,1,111544,,
1000010,12,F,36-45,1,B,4+,1,132488,,
1000010,13,F,36-45,1,B,4+,1,43478,,
1000010,14,F,36-45,1,B,4+,1,240536,,
1000010,15,F,36-45,1,B,4+,1,437111,,
1000010,16,F,36-45,1,B,4+,1,106613,,
1000010,17,F,36-45,1,B,4+,1,67887,,
1000010,18,F,36-45,1,B,4+,1,30847,,
1000010,19,F,36-45,1,B,4+,1,24,,
1000011,1,F,26-35,1,C,1,0,90210,,
1000011,2,F,26-35,1,C,1,0,83252,,
1000011,3,F,26-35,1,C,1,0,2663,,
1000011,4,F,26-35,1,C,1,0,8602,,
1000011,5,F,26-35,1,C,1,0,258324,,
1000011,6,F,26-35,1,C,1,0,67312,,
1000011,7,F,26-35,1,C,1,0,20944,,
1000011,8,F,26-35,1,C,1,0,192433,,
1000011,9,F,26-35,1,C,1,0,1726,,
1000011,11,F,26-35,1,C,1,0,16753,,
1000011,12,F,26-35,1,C,1,0,14087,,
1000011,13,F,26-35,1,C,1,0,15157,,
1000011,14,F,26-35,1,C,1,0,50461,,
1000011,15,F,26-35,1,C,1,0,20242,,
1000011,16,F,26-35,1,C,1,0,116226,,
1000011,17,F,26-35,1,C,1,0,26158,,
1000011,20,F,26-35,1,C,1,0,121,,
1000012,1,M,26-35,12,C,2,0,46368,,
1000012,2,M,26-35,12,C,2,0,12788,,
1000012,5,M,26-35,12,C,2,0,21101,,
1000012,6,M,26-35,12,C,2,0,56340,,
1000012,8,M,26-35,12,C,2,0,53147,,
1000012,10,M,26-35,12,C,2,0,14249,,
1000012,13,M,26-35,12,C,2,0,14249,,
1000012,16,M,26-35,12,C,2,0,23945,,
1000012,17,M,26-35,12,C,2,0,12091,,
1000013,1,M,46-50,1,C,3,1,429518,,
1000013,2,M,46-50,1,C,3,1,485795,,
1000013,3,M,46-50,1,C,3,1,9988,,
1000013,4,M,46-50,1,C,3,1,85656,,
1000013,5,M,46-50,1,C,3,1,114510,,
1000013,6,M,46-50,1,C,3,1,56817,,
1000013,8,M,46-50,1,C,3,1,146828,,
1000013,9,M,46-50,1,C,3,1,86244,,
1000013,10,M,46-50,1,C,3,1,9988,,
1000013,11,M,46-50,1,C,3,1,18092,,
1000013,12,M,46-50,1,C,3,1,9872,,
1000013,13,M,46-50,1,C,3,1,19371,,
1000013,14,M,46-50,1,C,3,1,48989,,
1000013,15,M,46-50,1,C,3,1,177510,,
1000013,16,M,46-50,1,C,3,1,107117,,
1000013,17,M,46-50,1,C,3,1,57104,,
1000013,18,M,46-50,1,C,3,1,21263,,
1000014,1,M,36-45,0,C,0,0,50202,,
1000014,5,M,36-45,0,C,0,0,15851,,
1000014,6,M,36-45,0,C,0,0,35693,,
1000014,8,M,36-45,0,C,0,0,72515,,
1000014,11,M,36-45,0,C,0,0,13494,,
1000014,13,M,36-45,0,C,0,0,10016,,
1000014,14,M,36-45,0,C,0,0,22267,,
1000014,15,M,36-45,0,C,0,0,13190,,
1000014,16,M,36-45,0,C,0,0,19657,,
1000015,1,M,26-35,7,A,1,0,406581,,
1000015,2,M,26-35,7,A,1,0,216965,,
1000015,3,M,26-35,7,A,1,0,10567,,
1000015,4,M,26-35,7,A,1,0,19142,,
1000015,5,M,26-35,7,A,1,0,228044,,
1000015,6,M,26-35,7,A,1,0,212148,,
1000015,8,M,26-35,7,A,1,0,374984,,
1000015,9,M,26-35,7,A,1,0,44846,,
1000015,11,M,26-35,7,A,1,0,44974,,
1000015,12,M,26-35,7,A,1,0,26783,,
1000015,13,M,26-35,7,A,1,0,99664,,
1000015,14,M,26-35,7,A,1,0,111282,,
1000015,15,M,26-35,7,A,1,0,73877,,
1000015,16,M,26-35,7,A,1,0,339368,,
1000015,17,M,26-35,7,A,1,0,31675,,
1000015,18,M,26-35,7,A,1,0,11920,,
1000015,20,M,26-35,7,A,1,0,604,,
1000016,1,F,36-45,0,C,0,1,55741,,
1000016,2,F,36-45,0,C,0,1,47128,,
1000016,3,F,36-45,0,C,0,1,9747,,
1000016,4,F,36-45,0,C,0,1,4286,,
1000016,5,F,36-45,0,C,0,1,97790,,
1000016,6,F,36-45,0,C,0,1,4181,,
1000016,8,F,36-45,0,C,0,1,11891,,
1000016,10,F,36-45,0,C,0,1,9747,,
1000016,11,F,36-45,0,C,0,1,3077,,
1000016,14,F,36-45,0,C,0,1,39387,,
1000016,15,F,36-45,0,C,0,1,52292,,
1000016,16,F,36-45,0,C,0,1,7701,,
1000016,17,F,36-45,0,C,0,1,4073,,
1000016,19,F,36-45,0,C,0,1,62,,
1000017,1,M,51-55,1,C,0,0,574203,,
1000017,2,M,51-55,1,C,0,0,265214,,
1000017,3,M,51-55,1,C,0,0,69373,,
1000017,4,M,51-55,1,C,0,0,56580,,
1000017,5,M,51-55,1,C,0,0,153725,,
1000017,6,M,51-55,1,C,0,0,205870,,
1000017,8,M,51-55,1,C,0,0,296073,,
1000017,9,M,51-55,1,C,0,0,86534,,
1000017,10,M,51-55,1,C,0,0,130749,,
1000017,11,M,51-55,1,C,0,0,81513,,
1000017,12,M,51-55,1,C,0,0,22266,,
1000017,13,M,51-55,1,C,0,0,61559,,
1000017,14,M,51-55,1,C,0,0,96026,,
1000017,15,M,51-55,1,C,0,0,686137,,
1000017,16,M,51-55,1,C,0,0,299043,,
1000017,17,M,51-55,1,C,0,0,121678,,
1000017,20,M,51-55,1,C,0,0,494,,
1000018,1,F,18-25,3,B,3,0,1038051,,
1000018,2,F,18-25,3,B,3,0,585502,,
1000018,3,F,18-25,3,B,3,0,284808,,
1000018,4,F,18-25,3,B,3,0,337311,,
1000018,5,F,18-25,3,B,3,0,440861,,
1000018,6,F,18-25,3,B,3,0,309210,,
1000018,8,F,18-25,3,B,3,0,542562,,
1000018,9,F,18-25,3,B,3,0,177393,,
1000018,10,F,18-25,3,B,3,0,50496,,
1000018,11,F,18-25,3,B,3,0,19409,,
1000018,12,F,18-25,3,B,3,0,78141,,
1000018,13,F,18-25,3,B,3,0,46496,,
1000018,14,F,18-25,3,B,3,0,219927,,
1000018,15,F,18-25,3,B,3,0,235361,,
1000018,16,F,18-25,3,B,3,0,291133,,
1000018,17,F,18-25,3,B,3,0,94347,,
1000018,18,F,18-25,3,B,3,0,94777,,
1000018,20,F,18-25,3,B,3,0,372,,
1000019,1,M,0-17,10,A,3,0,783638,,
1000019,2,M,0-17,10,A,3,0,365122,,
1000019,3,M,0-17,10,A,3,0,185962,,
1000019,4,M,0-17,10,A,3,0,145857,,
1000019,5,M,0-17,10,A,3,0,412961,,
1000019,6,M,0-17,10,A,3,0,90551,,
1000019,7,M,0-17,10,A,3,0,5210,,
1000019,8,M,0-17,10,A,3,0,138863,,
1000019,9,M,0-17,10,A,3,0,68655,,
1000019,10,M,0-17,10,A,3,0,13036,,
1000019,11,M,0-17,10,A,3,0,160333,,
1000019,12,M,0-17,10,A,3,0,73177,,
1000019,13,M,0-17,10,A,3,0,19406,,
1000019,14,M,0-17,10,A,3,0,97672,,
1000019,15,M,0-17,10,A,3,0,307114,,
1000019,16,M,0-17,10,A,3,0,283479,,
1000019,17,M,0-17,10,A,3,0,34741,,
1000019,18,M,0-17,10,A,3,0,8129,,
1000019,20,M,0-17,10,A,3,0,131,,
1000020,1,M,26-35,14,A,0,0,166200,,
1000020,2,M,26-35,14,A,0,0,27069,,
1000020,5,M,26-35,14,A,0,0,22629,,
1000020,6,M,26-35,14,A,0,0,35259,,
1000020,8,M,26-35,14,A,0,0,38424,,
1000020,13,M,26-35,14,A,0,0,15446,,
1000020,14,M,26-35,14,A,0,0,19669,,
1000020,15,M,26-35,14,A,0,0,74196,,
1000020,16,M,26-35,14,A,0,0,77956,,
1000020,17,M,26-35,14,A,0,0,19045,,
1000021,1,M,18-25,16,B,0,0,61507,,
1000021,2,M,18-25,16,B,0,0,64115,,
1000021,3,M,18-25,16,B,0,0,77978,,
1000021,4,M,18-25,16,B,0,0,29986,,
1000021,5,M,18-25,16,B,0,0,21526,,
1000021,6,M,18-25,16,B,0,0,4724,,
1000021,10,M,18-25,16,B,0,0,9589,,
1000021,11,M,18-25,16,B,0,0,4724,,
1000021,12,M,18-25,16,B,0,0,3055,,
1000021,13,M,18-25,16,B,0,0,4724,,
1000021,14,M,18-25,16,B,0,0,19178,,
1000021,15,M,18-25,16,B,0,0,27542,,
1000021,18,M,18-25,16,B,0,0,11481,,
1000021,20,M,18-25,16,B,0,0,355,,
1000022,1,M,18-25,15,A,4+,0,636774,,
1000022,2,M,18-25,15,A,4+,0,315518,,
1000022,3,M,18-25,15,A,4+,0,50886,,
1000022,4,M,18-25,15,A,4+,0,91352,,
1000022,5,M,18-25,15,A,4+,0,480842,,
1000022,6,M,18-25,15,A,4+,0,114486,,
1000022,8,M,18-25,15,A,4+,0,258565,,
1000022,9,M,18-25,15,A,4+,0,62978,,
1000022,10,M,18-25,15,A,4+,0,31527,,
1000022,11,M,18-25,15,A,4+,0,61025,,
1000022,13,M,18-25,15,A,4+,0,6029,,
1000022,14,M,18-25,15,A,4+,0,80065,,
1000022,15,M,18-25,15,A,4+,0,211748,,
1000022,16,M,18-25,15,A,4+,0,317849,,
1000022,17,M,18-25,15,A,4+,0,61087,,
1000022,18,M,18-25,15,A,4+,0,14078,,
1000022,20,M,18-25,15,A,4+,0,236,,
1000023,1,M,36-45,0,B,3,1,733683,,
1000023,2,M,36-45,0,B,3,1,411829,,
1000023,3,M,36-45,0,B,3,1,79047,,
1000023,4,M,36-45,0,B,3,1,79415,,
1000023,5,M,36-45,0,B,3,1,315563,,
1000023,6,M,36-45,0,B,3,1,309776,,
1000023,7,M,36-45,0,B,3,1,21035,,
1000023,8,M,36-45,0,B,3,1,382233,,
1000023,9,M,36-45,0,B,3,1,135402,,
1000023,10,M,36-45,0,B,3,1,72909,,
1000023,11,M,36-45,0,B,3,1,132949,,
1000023,12,M,36-45,0,B,3,1,13221,,
1000023,13,M,36-45,0,B,3,1,45388,,
1000023,14,M,36-45,0,B,3,1,143528,,
1000023,15,M,36-45,0,B,3,1,665570,,
1000023,16,M,36-45,0,B,3,1,461508,,
1000023,17,M,36-45,0,B,3,1,36296,,
1000024,1,F,26-35,7,A,3,1,267642,,
1000024,2,F,26-35,7,A,3,1,207996,,
1000024,3,F,26-35,7,A,3,1,10767,,
1000024,4,F,26-35,7,A,3,1,43071,,
1000024,5,F,26-35,7,A,3,1,375965,,
1000024,6,F,26-35,7,A,3,1,114337,,
1000024,8,F,26-35,7,A,3,1,323830,,
1000024,9,F,26-35,7,A,3,1,33212,,
1000024,11,F,26-35,7,A,3,1,20041,,
1000024,12,F,26-35,7,A,3,1,48698,,
1000024,13,F,26-35,7,A,3,1,11690,,
1000024,14,F,26-35,7,A,3,1,145101,,
1000024,15,F,26-35,7,A,3,1,37436,,
1000024,16,F,26-35,7,A,3,1,9893,,
1000024,17,F,26-35,7,A,3,1,28177,,
1000024,18,F,26-35,7,A,3,1,13131,,
1000024,19,F,26-35,7,A,3,1,49,,
1000025,1,M,18-25,4,C,4+,0,423038,,
1000025,2,M,18-25,4,C,4+,0,286290,,
1000025,3,M,18-25,4,C,4+,0,57387,,
1000025,4,M,18-25,4,C,4+,0,60118,,
1000025,5,M,18-25,4,C,4+,0,114151,,
1000025,6,M,18-25,4,C,4+,0,15648,,
1000025,8,M,18-25,4,C,4+,0,86804,,
1000025,9,M,18-25,4,C,4+,0,69213,,
1000025,10,M,18-25,4,C,4+,0,13008,,
1000025,11,M,18-25,4,C,4+,0,11719,,
1000025,13,M,18-25,4,C,4+,0,559,,
1000025,15,M,18-25,4,C,4+,0,183133,,
1000025,16,M,18-25,4,C,4+,0,53359,,
1000025,17,M,18-25,4,C,4+,0,22418,,
1000025,20,M,18-25,4,C,4+,0,491,,
1000026,1,M,26-35,7,B,2,1,523292,,
1000026,2,M,26-35,7,B,2,1,228810,,
1000026,3,M,26-35,7,B,2,1,58309,,
1000026,4,M,26-35,7,B,2,1,94502,,
1000026,5,M,26-35,7,B,2,1,600110,,
1000026,6,M,26-35,7,B,2,1,84490,,
1000026,8,M,26-35,7,B,2,1,607718,,
1000026,9,M,26-35,7,B,2,1,29774,,
1000026,11,M,26-35,7,B,2,1,39989,,
1000026,12,M,26-35,7,B,2,1,34354,,
1000026,13,M,26-35,7,B,2,1,36884,,
1000026,14,M,26-35,7,B,2,1,385274,,
1000026,15,M,26-35,7,B,2,1,183991,,
1000026,16,M,26-35,7,B,2,1,235255,,
1000026,17,M,26-35,7,B,2,1,63716,,
1000026,18,M,26-35,7,B,2,1,15046,,
1000027,1,M,26-35,11,C,1,1,61291,,
1000027,2,M,26-35,11,C,1,1,61885,,
1000027,3,M,26-35,11,C,1,1,23339,,
1000027,4,M,26-35,11,C,1,1,20574,,
1000027,5,M,26-35,11,C,1,1,113687,,
1000027,6,M,26-35,11,C,1,1,84786,,
1000027,8,M,26-35,11,C,1,1,119040,,
1000027,9,M,26-35,11,C,1,1,18362,,
1000027,10,M,26-35,11,C,1,1,147059,,
1000027,11,M,26-35,11,C,1,1,4531,,
1000027,12,M,26-35,11,C,1,1,11055,,
1000027,13,M,26-35,11,C,1,1,26330,,
1000027,14,M,26-35,11,C,1,1,36214,,
1000027,15,M,26-35,11,C,1,1,23085,,
1000027,16,M,26-35,11,C,1,1,23520,,
1000027,17,M,26-35,11,C,1,1,35657,,
1000027,18,M,26-35,11,C,1,1,8696,,
1000027,20,M,26-35,11,C,1,1,372,,
1000028,1,F,26-35,1,C,2,1,139665,,
1000028,2,F,26-35,1,C,2,1,96871,,
1000028,3,F,26-35,1,C,2,1,13670,,
1000028,4,F,26-35,1,C,2,1,15842,,
1000028,5,F,26-35,1,C,2,1,125740,,
1000028,6,F,26-35,1,C,2,1,60606,,
1000028,8,F,26-35,1,C,2,1,215972,,
1000028,9,F,26-35,1,C,2,1,7345,,
1000028,10,F,26-35,1,C,2,1,39486,,
1000028,11,F,26-35,1,C,2,1,30132,,
1000028,12,F,26-35,1,C,2,1,5161,,
1000028,13,F,26-35,1,C,2,1,36504,,
1000028,14,F,26-35,1,C,2,1,101929,,
1000028,15,F,26-35,1,C,2,1,35001,,
1000028,16,F,26-35,1,C,2,1,68518,,
1000028,17,F,26-35,1,C,2,1,13979,,
1000028,18,F,26-35,1,C,2,1,9317,,
1000029,1,M,36-45,7,C,1,0,628922,,
1000029,2,M,36-45,7,C,1,0,220038,,
1000029,3,M,36-45,7,C,1,0,15285,,
1000029,5,M,36-45,7,C,1,0,94053,,
1000029,6,M,36-45,7,C,1,0,31533,,
1000029,8,M,36-45,7,C,1,0,108234,,
1000029,9,M,36-45,7,C,1,0,42490,,
1000029,10,M,36-45,7,C,1,0,14506,,
1000029,11,M,36-45,7,C,1,0,19708,,
1000029,14,M,36-45,7,C,1,0,32204,,
1000029,15,M,36-45,7,C,1,0,192442,,
1000029,16,M,36-45,7,C,1,0,110948,,
1000029,17,M,36-45,7,C,1,0,54606,,
1000029,18,M,36-45,7,C,1,0,19395,,
1000030,1,F,36-45,7,C,3,0,46024,,
1000030,2,F,36-45,7,C,3,0,13308,,
1000030,3,F,36-45,7,C,3,0,8036,,
1000030,4,F,36-45,7,C,3,0,3423,,
1000030,5,F,36-45,7,C,3,0,47138,,
1000030,6,F,36-45,7,C,3,0,49162,,
1000030,7,F,36-45,7,C,3,0,21083,,
1000030,8,F,36-45,7,C,3,0,116954,,
1000030,9,F,36-45,7,C,3,0,3423,,
1000030,10,F,36-45,7,C,3,0,16118,,
1000030,11,F,36-45,7,C,3,0,3114,,
1000030,12,F,36-45,7,C,3,0,3568,,
1000030,13,F,36-45,7,C,3,0,16118,,
1000030,14,F,36-45,7,C,3,0,20319,,
1000030,15,F,36-45,7,C,3,0,30488,,
1000030,16,F,36-45,7,C,3,0,63532,,
1000030,17,F,36-45,7,C,3,0,25271,,
1000030,20,F,36-45,7,C,3,0,599,,
1000031,1,M,55+,7,C,2,0,143603,,
1000031,2,M,55+,7,C,2,0,95085,,
1000031,3,M,55+,7,C,2,0,21394,,
1000031,4,M,55+,7,C,2,0,26968,,
1000031,5,M,55+,7,C,2,0,412926,,
1000031,6,M,55+,7,C,2,0,38195,,
1000031,7,M,55+,7,C,2,0,5175,,
1000031,8,M,55+,7,C,2,0,62623,,
1000031,11,M,55+,7,C,2,0,15936,,
1000031,12,M,55+,7,C,2,0,19939,,
1000031,13,M,55+,7,C,2,0,34568,,
1000031,14,M,55+,7,C,2,0,72049,,
1000031,15,M,55+,7,C,2,0,6860,,
1000031,16,M,55+,7,C,2,0,17488,,
1000031,17,M,55+,7,C,2,0,17115,,
1000031,18,M,55+,7,C,2,0,21627,,
1000032,1,F,26-35,0,C,3,1,27607,,
1000032,3,F,26-35,0,C,3,1,19265,,
1000032,4,F,26-35,0,C,3,1,13013,,
1000032,5,F,26-35,0,C,3,1,44118,,
1000032,6,F,26-35,0,C,3,1,44041,,
1000032,8,F,26-35,0,C,3,1,86954,,
1000032,9,F,26-35,0,C,3,1,7760,,
1000032,10,F,26-35,0,C,3,1,12026,,
1000032,12,F,26-35,0,C,3,1,2056,,
1000032,13,F,26-35,0,C,3,1,12026,,
1000032,14,F,26-35,0,C,3,1,43481,,
1000032,15,F,26-35,0,C,3,1,9959,,
1000032,16,F,26-35,0,C,3,1,109699,,
1000032,17,F,26-35,0,C,3,1,7953,,
1000032,19,F,26-35,0,C,3,1,49,,
1000033,1,M,46-50,3,A,1,1,703616,,
1000033,2,M,46-50,3,A,1,1,260929,,
1000033,3,M,46-50,3,A,1,1,16779,,
1000033,4,M,46-50,3,A,1,1,41968,,
1000033,5,M,46-50,3,A,1,1,267324,,
1000033,6,M,46-50,3,A,1,1,264448,,
1000033,7,M,46-50,3,A,1,1,20302,,
1000033,8,M,46-50,3,A,1,1,620382,,
1000033,9,M,46-50,3,A,1,1,14781,,
1000033,10,M,46-50,3,A,1,1,45048,,
1000033,11,M,46-50,3,A,1,1,202076,,
1000033,12,M,46-50,3,A,1,1,28815,,
1000033,13,M,46-50,3,A,1,1,18578,,
1000033,14,M,46-50,3,A,1,1,129816,,
1000033,15,M,46-50,3,A,1,1,329007,,
1000033,16,M,46-50,3,A,1,1,642455,,
1000033,17,M,46-50,3,A,1,1,67239,,
1000033,18,M,46-50,3,A,1,1,42776,,
1000033,20,M,46-50,3,A,1,1,375,,
1000034,1,F,18-25,0,A,0,0,155748,,
1000034,2,F,18-25,0,A,0,0,105973,,
1000034,3,F,18-25,0,A,0,0,58930,,
1000034,4,F,18-25,0,A,0,0,69570,,
1000034,5,F,18-25,0,A,0,0,537815,,
1000034,6,F,18-25,0,A,0,0,39138,,
1000034,8,F,18-25,0,A,0,0,183871,,
1000034,9,F,18-25,0,A,0,0,8839,,
1000034,11,F,18-25,0,A,0,0,71816,,
1000034,12,F,18-25,0,A,0,0,3550,,
1000034,13,F,18-25,0,A,0,0,31651,,
1000034,14,F,18-25,0,A,0,0,247257,,
1000034,15,F,18-25,0,A,0,0,8844,,
1000034,16,F,18-25,0,A,0,0,75969,,
1000034,17,F,18-25,0,A,0,0,8793,,
1000034,18,F,18-25,0,A,0,0,7125,,
1000034,20,F,18-25,0,A,0,0,236,,
1000035,1,M,46-50,1,C,4+,1,148155,,
1000035,2,M,46-50,1,C,4+,1,57730,,
1000035,3,M,46-50,1,C,4+,1,46129,,
1000035,4,M,46-50,1,C,4+,1,41010,,
1000035,5,M,46-50,1,C,4+,1,304626,,
1000035,6,M,46-50,1,C,4+,1,52638,,
1000035,8,M,46-50,1,C,4+,1,425209,,
1000035,9,M,46-50,1,C,4+,1,7047,,
1000035,10,M,46-50,1,C,4+,1,18854,,
1000035,12,M,46-50,1,C,4+,1,56376,,
1000035,13,M,46-50,1,C,4+,1,73849,,
1000035,14,M,46-50,1,C,4+,1,269778,,
1000035,15,M,46-50,1,C,4+,1,23588,,
1000035,16,M,46-50,1,C,4+,1,67331,,
1000035,17,M,46-50,1,C,4+,1,38513,,
1000035,18,M,46-50,1,C,4+,1,57351,,
1000036,1,M,26-35,3,B,0,0,1076240,,
1000036,2,M,26-35,3,B,0,0,363052,,
1000036,3,M,26-35,3,B,0,0,75489,,
1000036,4,M,26-35,3,B,0,0,67804,,
1000036,5,M,26-35,3,B,0,0,690169,,
1000036,6,M,26-35,3,B,0,0,254540,,
1000036,7,M,26-35,3,B,0,0,129825,,
1000036,8,M,26-35,3,B,0,0,572871,,
1000036,9,M,26-35,3,B,0,0,48274,,
1000036,10,M,26-35,3,B,0,0,37396,,
1000036,11,M,26-35,3,B,0,0,158219,,
1000036,12,M,26-35,3,B,0,0,35948,,
1000036,13,M,26-35,3,B,0,0,75918,,
1000036,14,M,26-35,3,B,0,0,244418,,
1000036,15,M,26-35,3,B,0,0,396625,,
1000036,16,M,26-35,3,B,0,0,539603,,
1000036,17,M,26-35,3,B,0,0,213954,,
1000036,18,M,26-35,3,B,0,0,44704,,
1000036,19,M,26-35,3,B,0,0,38,,
